scenario,variant,metric_key,metric_label,n,median,q1,q3,iqr,median_ci95_lo,median_ci95_hi
Scenario_Circle_8x1,SpoofingAware,total_nmac_real,Total NMACs (real-position),4,25.0,24.75,25.25,0.5,24.0,26.0
Scenario_Circle_8x1,TrustRID,total_nmac_real,Total NMACs (real-position),4,32.0,31.75,32.0,0.25,31.0,32.0
Scenario_Circle_8x1,SpoofingAware,benign_benign_nmac,Benign-Benign NMACs,4,22.0,22.0,22.25,0.25,22.0,23.0
Scenario_Circle_8x1,TrustRID,benign_benign_nmac,Benign-Benign NMACs,4,28.0,28.0,28.0,0.0,28.0,28.0
Scenario_Circle_8x1,SpoofingAware,benign_spoofer_nmac,Benign-Spoofer NMACs,4,3.0,2.75,3.0,0.25,2.0,3.0
Scenario_Circle_8x1,TrustRID,benign_spoofer_nmac,Benign-Spoofer NMACs,4,4.0,3.75,4.0,0.25,3.0,4.0
Scenario_Circle_8x1,SpoofingAware,min_distance_true_spoofer_m,Min distance to true spoofer (m),4,31.144836213391,30.871610619117998,32.715170741847,1.8435601227289986,30.159238159387,37.318870004127
Scenario_Circle_8x1,TrustRID,min_distance_true_spoofer_m,Min distance to true spoofer (m),4,3.8976771051164003,3.7777426448284004,4.0203553716257,0.24261272679729995,3.7776960545152,4.0286333806028
Scenario_Circle_8x1,SpoofingAware,gcs_reports_mean_ms,GCS report callback mean time (ms),4,13.057596777087,12.59064385401425,13.570719780752,0.9800759267377508,12.501089165936,13.798784710607
Scenario_Circle_8x1,TrustRID,gcs_reports_mean_ms,GCS report callback mean time (ms),4,0.0094534698340678,0.009335755133132876,0.009531865989231225,0.00019611085609834954,0.0090751814368729,0.0096744840481767
Scenario_Circle_8x1,SpoofingAware,gcs_tick_mean_ms,GCS tick callback mean time (ms),4,1.84190070955085,1.837865030393025,1.850061386358,0.012196355964974925,1.8296773638576,1.8706240458414
Scenario_Circle_8x1,TrustRID,gcs_tick_mean_ms,GCS tick callback mean time (ms),4,0.19117387244478,0.1882045815000325,0.19390199042391,0.005697408923877489,0.18726377747953,0.19411927554756
Scenario_Circle_8x1,SpoofingAware,gcs_compute_total_s,Total GCS compute time (s),4,2.1307800770737,2.090037984075,2.1744619105011003,0.08442392642610042,2.0623983182013,2.2109207976609
Scenario_Circle_8x1,TrustRID,gcs_compute_total_s,Total GCS compute time (s),4,0.07750000804662699,0.0762878253590315,0.0786044641863555,0.002316638827323997,0.075876555405557,0.078692554496229
Scenario_Circle_8x1,SpoofingAware,chance_constraint_violations,SpoofingAware: chance-constraint violations,4,3.5,2.25,4.0,1.75,0.0,4.0
Scenario_Circle_8x1,SpoofingAware,spoofer_containment_percent,SpoofingAware: spoofer containment percent,4,0.64871794871795,0.605128205128205,0.6673076923076949,0.062179487179489956,0.4974358974359,0.7
Scenario_Circle_8x1,SpoofingAware,detection_latency_s,SpoofingAware: detection latency (s),4,1.999999973131,1.999999973131,1.99999997313125,2.5002222514558525e-13,1.999999973131,1.999999973132
Scenario_Circle_8x1,SpoofingAware,localization_mae_m,SpoofingAware: localization MAE (m),4,60.943869806121,57.2597616894005,64.837498586567,7.577736897166496,55.514679379601,67.211142887543
Scenario_Circle_8x1,SpoofingAware,localization_rmse_m,SpoofingAware: localization RMSE (m),4,86.613871067038,82.85553940155076,88.60306620356926,5.747526802018498,75.06165659691,91.089539421342
Scenario_Corners_4x1,SpoofingAware,total_nmac_real,Total NMACs (real-position),4,5.0,5.0,5.0,0.0,5.0,5.0
Scenario_Corners_4x1,TrustRID,total_nmac_real,Total NMACs (real-position),4,8.0,7.75,8.0,0.25,7.0,8.0
Scenario_Corners_4x1,SpoofingAware,benign_benign_nmac,Benign-Benign NMACs,4,5.0,4.75,5.0,0.25,4.0,5.0
Scenario_Corners_4x1,TrustRID,benign_benign_nmac,Benign-Benign NMACs,4,6.0,6.0,6.0,0.0,6.0,6.0
Scenario_Corners_4x1,SpoofingAware,benign_spoofer_nmac,Benign-Spoofer NMACs,4,0.0,0.0,0.25,0.25,0.0,1.0
Scenario_Corners_4x1,TrustRID,benign_spoofer_nmac,Benign-Spoofer NMACs,4,2.0,1.75,2.0,0.25,1.0,2.0
Scenario_Corners_4x1,SpoofingAware,min_distance_true_spoofer_m,Min distance to true spoofer (m),4,58.96149470089949,47.47430387496825,58.96187647493825,11.487572599970001,13.013810094774,58.961943099455
Scenario_Corners_4x1,TrustRID,min_distance_true_spoofer_m,Min distance to true spoofer (m),4,12.1932151580355,12.193023454896501,12.19337275493425,0.000349300037749245,12.192560212976,12.193733678134
Scenario_Corners_4x1,SpoofingAware,gcs_reports_mean_ms,GCS report callback mean time (ms),4,11.440331926748499,11.39201327280825,11.6334942911435,0.24148101833525004,11.302788061305,12.157250634011
Scenario_Corners_4x1,TrustRID,gcs_reports_mean_ms,GCS report callback mean time (ms),4,0.00872012262917915,0.00863695807460325,0.00887531743226745,0.0002383593576641991,0.0086128532599944,0.0091155129924135
Scenario_Corners_4x1,SpoofingAware,gcs_tick_mean_ms,GCS tick callback mean time (ms),4,1.273815582972,1.26817875250705,1.2812852335628,0.013106481055749963,1.2681384128518,1.2868240335956
