hash,tag,nmac_proximity_aware,nmac_proximity_trust_rid,nmac_benign_spoofer_aware,nmac_benign_spoofer_trust_rid,nmac_spoofer_unsafe_aware,nmac_spoofer_unsafe_trust_rid,min_benign_spoofer_distance_aware_m,min_benign_spoofer_distance_trust_rid_m,spoofer_containment_rate_aware,spoofer_containment_rate_trust_rid,gcs_reports_mean_ms_aware,gcs_reports_mean_ms_trust_rid,gcs_tick_mean_ms_aware,gcs_tick_mean_ms_trust_rid,gcs_compute_total_s_aware,gcs_compute_total_s_trust_rid,num_hosts_observed_aware,num_hosts_observed_trust_rid,first_detection_time_s_aware,detection_latency_s_aware,localization_mae_m_aware,localization_rmse_m_aware,localization_samples_aware,aware_sca,trust_rid_sca
04d4259b,Scenario_Hub_8x1_s00002,8.0,12.0,0.0,3.0,8.0,0.0,61.203591978807,18.52488096019,0.6531914893617,,11.150985985758,0.0095549483029615,1.8178966109796,0.18499383586459,2.2776146074757,0.090000964701176,9.0,9.0,2.510047151387,1.999999969172,64.509895670831,88.728094585161,470.0,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/hub_8x1_s00002/04d4259b-Scenario_Hub_8x1_s00002_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/hub_8x1_s00002/04d4259b-Scenario_Hub_8x1_s00002_TrustRid.sca
0d106736,Scenario_Hub_4x1_s00000,1.0,2.0,1.0,2.0,14.0,0.0,35.958262590526,18.524340273171,0.40851063829787,,12.822563639812,0.0084898840155332,1.2774962000549,0.07220078065681,2.203196067363,0.035709120333195,5.0,5.0,2.510046695104,1.99999998261,67.192917273857,84.929763195806,470.0,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/hub_4x1_s00000/0d106736-Scenario_Hub_4x1_s00000_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/hub_4x1_s00000/0d106736-Scenario_Hub_4x1_s00000_TrustRid.sca
38771ec5,Scenario_Corners_4x1_s00000,5.0,6.0,0.0,2.0,4.0,0.0,58.961943099455,12.193252447201,0.77435897435897,,11.421755009976,0.0091155129924135,1.2868240335956,0.081132997293025,1.7025921344757,0.033419443294406,5.0,5.0,2.510047166773,1.999999963121,47.254218381945,62.698230774596,390.0,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/corners_4x1_s00000/38771ec5-Scenario_Corners_4x1_s00000_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/corners_4x1_s00000/38771ec5-Scenario_Corners_4x1_s00000_TrustRid.sca
604e8aa8,Scenario_Circle_8x1_s00002,22.0,28.0,2.0,4.0,0.0,0.0,37.318870004127,4.0286333806028,0.4974358974359,,13.798784710607,0.0096744840481767,1.8706240458414,0.19411927554756,2.2109207976609,0.078692554496229,9.0,9.0,2.510047152517,1.999999973131,67.211142887543,87.774241797645,390.0,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/circle_8x1_s00002/604e8aa8-Scenario_Circle_8x1_s00002_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/circle_8x1_s00002/604e8aa8-Scenario_Circle_8x1_s00002_TrustRid.sca
6ad01262,Scenario_Hub_8x1_s00000,10.0,12.0,0.0,3.0,11.0,0.0,59.593823593088,18.524727667857,0.74255319148936,,10.844320310132,0.0093938886291451,1.8492247521256,0.18232607205088,2.2540122400969,0.088700144551694,9.0,9.0,2.510047151387,1.999999969172,45.02009482693,50.947395256806,470.0,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/hub_8x1_s00000/6ad01262-Scenario_Hub_8x1_s00000_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/hub_8x1_s00000/6ad01262-Scenario_Hub_8x1_s00000_TrustRid.sca
6fd70f98,Scenario_Circle_8x1_s00000,22.0,28.0,3.0,3.0,4.0,0.0,31.109068105695,4.0175960353,0.65641025641026,,12.501089165936,0.0094226130318862,1.8432071665302,0.1885181828402,2.0623983182013,0.076424915343523,9.0,9.0,2.510047152517,1.999999973131,64.046283819575,91.089539421342,390.0,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/circle_8x1_s00000/6fd70f98-Scenario_Circle_8x1_s00000_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/circle_8x1_s00000/6fd70f98-Scenario_Circle_8x1_s00000_TrustRid.sca
8e974251,Scenario_Hub_8x1_s00001,9.0,12.0,0.0,3.0,7.0,0.0,58.28346131514,18.524875806125,0.39574468085106,,11.256464145845,0.0092814952949993,1.8841541643875,0.18920388344365,2.3452214095742,0.092005895450711,9.0,9.0,2.510047151387,1.999999969172,90.247337081119,111.71633045837,470.0,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/hub_8x1_s00001/8e974251-Scenario_Hub_8x1_s00001_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/hub_8x1_s00001/8e974251-Scenario_Hub_8x1_s00001_TrustRid.sca
8ea459b3,Scenario_Corners_4x1_s00002,4.0,6.0,1.0,1.0,2.0,0.0,13.013810094774,12.193733678134,0.58974358974359,,12.157250634011,0.0086128532599944,1.2681921990588,0.070405623409897,1.7473164442927,0.029057986102998,5.0,5.0,2.510047166773,1.999999963121,67.009824679226,89.543910689782,390.0,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/corners_4x1_s00002/8ea459b3-Scenario_Corners_4x1_s00002_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/corners_4x1_s00002/8ea459b3-Scenario_Corners_4x1_s00002_TrustRid.sca
9ee5e06b,Scenario_Hub_8x1_s00003,8.0,12.0,0.0,3.0,9.0,0.0,60.346042745464,18.506053595495,0.51489361702128,,11.462216509417,0.0096583177172948,1.8466633084851,0.1890262006782,2.3306376682594,0.091949524357915,9.0,9.0,2.510047151643,1.999999969428,66.245388772824,83.496310154769,470.0,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/hub_8x1_s00003/9ee5e06b-Scenario_Hub_8x1_s00003_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/hub_8x1_s00003/9ee5e06b-Scenario_Hub_8x1_s00003_TrustRid.sca
ae56b453,Scenario_Hub_4x1_s00002,1.0,2.0,1.0,2.0,3.0,0.0,33.880428269278,18.524552941367,0.2936170212766,,13.176845577469,0.0084666916947873,1.3057936584422,0.070314349917074,2.2343561165035,0.03478382434696,5.0,5.0,2.51004669529,1.999999982796,70.255633673477,83.973531302883,470.0,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/hub_4x1_s00002/ae56b453-Scenario_Hub_4x1_s00002_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/paper_suite_30seeds/generated/hub_4x1_s00002/ae56b453-Scenario_Hub_4x1_s00002_TrustRid.sca
