hash,tag,nmac_proximity_aware,nmac_proximity_trust_rid,nmac_benign_spoofer_aware,nmac_benign_spoofer_trust_rid,nmac_spoofer_unsafe_aware,nmac_spoofer_unsafe_trust_rid,min_benign_spoofer_distance_aware_m,min_benign_spoofer_distance_trust_rid_m,spoofer_containment_rate_aware,spoofer_containment_rate_trust_rid,aware_sca,trust_rid_sca
05face68,circle8_s00007,8.0,8.0,1.0,0.0,11.0,0.0,0.0,15.889332454226,0.72978723404255,,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00007/05face68-circle8_s00007_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00007/05face68-circle8_s00007_TrustRid.sca
4674b0d3,circle8_s00002,10.0,8.0,1.0,0.0,14.0,0.0,0.0,10.969318333604,0.48297872340426,,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00002/4674b0d3-circle8_s00002_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00002/4674b0d3-circle8_s00002_TrustRid.sca
4ce9bf72,circle8_s00006,10.0,7.0,1.0,2.0,15.0,0.0,0.0,3.6951716579086,0.63191489361702,,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00006/4ce9bf72-circle8_s00006_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00006/4ce9bf72-circle8_s00006_TrustRid.sca
5138698a,circle8_s00008,3.0,0.0,1.0,0.0,18.0,0.0,0.0,10.053413724508,0.59148936170213,,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00008/5138698a-circle8_s00008_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00008/5138698a-circle8_s00008_TrustRid.sca
598cc249,circle8_s00001,6.0,12.0,1.0,2.0,45.0,0.0,0.0,4.7550325015202,0.81914893617021,,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00001/598cc249-circle8_s00001_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00001/598cc249-circle8_s00001_TrustRid.sca
6d1d4406,circle8_s00003,8.0,10.0,1.0,0.0,17.0,0.0,0.0,38.634648235962,0.72553191489362,,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00003/6d1d4406-circle8_s00003_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00003/6d1d4406-circle8_s00003_TrustRid.sca
9901be8a,circle8_s00005,12.0,12.0,1.0,0.0,4.0,0.0,0.0,16.757160832299,0.6936170212766,,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00005/9901be8a-circle8_s00005_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00005/9901be8a-circle8_s00005_TrustRid.sca
ab94edca,circle8_s00000,10.0,0.0,1.0,0.0,31.0,0.0,0.0,11.916839191639,0.73191489361702,,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00000/ab94edca-circle8_s00000_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00000/ab94edca-circle8_s00000_TrustRid.sca
dc42e206,circle8_s00009,6.0,4.0,1.0,2.0,12.0,0.0,0.0,1.8988721997899,0.7468085106383,,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00009/dc42e206-circle8_s00009_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00009/dc42e206-circle8_s00009_TrustRid.sca
ec97fbd4,circle8_s00004,7.0,8.0,1.0,0.0,7.0,0.0,0.0,12.011751433767,0.66382978723404,,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00004/ec97fbd4-circle8_s00004_Aware.sca,/usr/uli-net-sim/uav_rid/simulations/spoofing_aware_with_planning/sweeps/generated/circle8_s00004/ec97fbd4-circle8_s00004_TrustRid.sca
